offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
260.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,44,2 1/4
261,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,2 1/2
261.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,2 3/4
262,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,44,3
262.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,44,3 1/4
263,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,44,3 1/2
263.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,44,3 3/4
267,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,45,2 1/2
267.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,45,2 3/4
268,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3
268.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3 1/4
269,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,45,3 1/2
269.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,45,3 3/4
270,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,46,1
270.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,46,1 1/4
271,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,46,1 1/2
271.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,46,1 3/4
274,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,46,3
274.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,46,3 1/4
275,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,46,3 1/2
275.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,46,3 3/4
276,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,1
276.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,1 1/4
277,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,47,1 1/2
277.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,1 3/4
278,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,2
280.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,47,3 1/4
281,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,47,3 1/2
281.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,47,3 3/4
282,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,48,1
282.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,1 1/4
283,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,1 1/2
285.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,2 3/4
286,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,48,3
286.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,48,3 1/4
287,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,48,3 1/2
287.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,48,3 3/4
288,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,49,1
290.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,49,2 1/4
291,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,49,2 1/2
291.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,49,2 3/4
292,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,49,3
292.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,49,3 1/4
293,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,49,3 1/2
293.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,49,3 3/4
294,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,50,1
294.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,50,1 1/4
295,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,50,1 1/2
295.5,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,50,1 3/4
296,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_Sol_Sostenido.xml,50,2
296.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,50,2 1/4
297,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,2 1/2
298,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,3
299,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,50,3 1/2
299.5,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,50,3 3/4
300,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_Sol_Sostenido.xml,51,1
300.5,<music21.chord.Chord B2 E5>,"[0, -7]","[11, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 1/4
301,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 1/2
301.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,51,1 3/4
302,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_Sol_Sostenido.xml,51,2
302.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 1/4
303,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 1/2
303.5,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,2 3/4
304,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3
305,<music21.chord.Chord E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3 1/2
305.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_Sol_Sostenido.xml,51,3 3/4
306,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,1
306.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,52,1 1/4
307,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,52,1 1/2
307.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,1 3/4
308,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,2
308.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,2 1/4
309,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,2 1/2
310,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,3
310.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,52,3 1/4
311,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,52,3 1/2
311.5,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,52,3 3/4
312,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",AlariodelRio_Sol_Sostenido.xml,53,1
312.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,53,1 1/4
313,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,53,1 1/2
313.5,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,1 3/4
314,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,2
315,<music21.chord.Chord C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,2 1/2
315.5,<music21.chord.Chord E3 C#5>,"[0, 3]","[1, 4]",AlariodelRio_Sol_Sostenido.xml,53,2 3/4
316,<music21.chord.Chord C#3 C#5>,[0],[1],AlariodelRio_Sol_Sostenido.xml,53,3
316.5,<music21.chord.Chord D#3 C#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,53,3 1/4
317,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,53,3 1/2
317.5,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,53,3 3/4
318,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,54,1
318.5,<music21.chord.Chord G#3 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,54,1 1/4
319,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,54,1 1/2
319.5,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,54,1 3/4
320,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,54,2
320.5,<music21.chord.Chord C#3 D#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,54,2 1/4
321,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,54,2 1/2
321.5,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,54,2 3/4
322,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,54,3
323,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,54,3 1/2
324,<music21.chord.Chord E3 D#5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,55,1
324.5,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,55,1 1/4
325,<music21.chord.Chord A#2 D#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,55,1 1/2
325.5,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,55,1 3/4
326,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,55,2
326.5,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,55,2 1/4
327,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,55,2 1/2
327.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,55,2 3/4
328,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,55,3
330.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,56,1 1/4
331,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,56,1 1/2
331.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,56,1 3/4
332,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,56,2
332.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,56,2 1/4
333,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,56,2 1/2
335.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,56,3 3/4
336,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,57,1
336.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,57,1 1/4
337,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,57,1 1/2
337.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,57,1 3/4
338,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,57,2
340.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,57,3 1/4
341,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,57,3 1/2
341.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,57,3 3/4
342,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,58,1
342.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,58,1 1/4
343,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,58,1 1/2
343.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,58,1 3/4
344,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,58,2
344.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,58,2 1/4
345,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,58,2 1/2
345.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,58,2 3/4
346,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,58,3
346.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,58,3 1/4
347,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,58,3 1/2
347.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,58,3 3/4
348,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,59,1
348.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,59,1 1/4
349,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,59,1 1/2
349.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,59,1 3/4
352,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,59,3
352.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,59,3 1/4
353,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,59,3 1/2
353.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,59,3 3/4
356,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,60,2
356.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,60,2 1/4
357,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,60,2 1/2
357.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,60,2 3/4
360,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,61,1
360.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,61,1 1/4
361,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,61,1 1/2
361.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,61,1 3/4
364,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,61,3
364.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,61,3 1/4
365,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,61,3 1/2
365.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,61,3 3/4
366,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,62,1
366.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,62,1 1/4
367,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,62,1 1/2
367.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,62,1 3/4
368,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,62,2
368.5,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_Sol_Sostenido.xml,62,2 1/4
369,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,62,2 1/2
369.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,62,2 3/4
370,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,62,3
370.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,62,3 1/4
371,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,62,3 1/2
371.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,62,3 3/4
374,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,63,2
374.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,63,2 1/4
375,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,63,2 1/2
375.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,63,2 3/4
378,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,64,1
378.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,64,1 1/4
379,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,64,1 1/2
379.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,64,1 3/4
382,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,64,3
382.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,64,3 1/4
383,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,64,3 1/2
383.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,64,3 3/4
386,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,65,2
386.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,65,2 1/4
387,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,65,2 1/2
387.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,65,2 3/4
388,<music21.chord.Chord D#3 B4>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,65,3
388.5,<music21.chord.Chord D#3 B4>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,65,3 1/4
389,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,65,3 1/2
389.5,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",AlariodelRio_Sol_Sostenido.xml,65,3 3/4
390,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,66,1
390.5,<music21.chord.Chord G#3 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,66,1 1/4
391,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,66,1 1/2
391.5,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,66,1 3/4
392,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,66,2
392.5,<music21.chord.Chord C#3 B4>,"[0, -10]","[11, 1]",AlariodelRio_Sol_Sostenido.xml,66,2 1/4
393,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,66,2 1/2
393.5,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",AlariodelRio_Sol_Sostenido.xml,66,2 3/4
396,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,67,1
396.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,67,1 1/4
397,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,67,1 1/2
397.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,67,1 3/4
400,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,67,3
400.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,67,3 1/4
401,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,67,3 1/2
401.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,67,3 3/4
404,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,68,2
404.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,68,2 1/4
405,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,68,2 1/2
405.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,68,2 3/4
408,<music21.chord.Chord A#2 F#3 B4 A#5>,"[0, 4, 5]","[6, 10, 11]",AlariodelRio_Sol_Sostenido.xml,69,1
410,<music21.chord.Chord A#2 C#3 B4 C#5>,"[0, 1, -9]","[10, 11, 1]",AlariodelRio_Sol_Sostenido.xml,69,2
412,<music21.chord.Chord A#2 A#3 A#4 A#5>,[0],[10],AlariodelRio_Sol_Sostenido.xml,69,3