Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord B-5 B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,1,1.0
0.25,<music21.chord.Chord G#5 G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,1,1.25
0.75,<music21.chord.Chord B-5 B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,1,1.75
1.0,<music21.chord.Chord F5 F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,1,2.0
1.5,<music21.chord.Chord B-5 B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,1,2.5
2.0,<music21.chord.Chord G#5 G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,2,1.0
2.25,<music21.chord.Chord F5 F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,2,1.25
2.75,<music21.chord.Chord E-5 E-4>,[0],[3],Children's Corner 113 6 Eb Major.mid,Debussy,2,1.75
3.0,<music21.chord.Chord B4 B3>,[0],[11],Children's Corner 113 6 Eb Major.mid,Debussy,2,2.0
4.25,<music21.chord.Chord G#4 G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,3,1.25
4.5,<music21.chord.Chord F4 F3>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,3,1.5
4.75,<music21.chord.Chord E-4 E-3>,[0],[3],Children's Corner 113 6 Eb Major.mid,Debussy,3,1.75
5.0,<music21.chord.Chord B3 B2>,[0],[11],Children's Corner 113 6 Eb Major.mid,Debussy,3,2.0
6.25,<music21.chord.Chord G#3 G#2>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,4,1.25
6.5,<music21.chord.Chord F3 F2>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,4,1.5
6.75,<music21.chord.Chord E-3 E-2>,[0],[3],Children's Corner 113 6 Eb Major.mid,Debussy,4,1.75
7.0,<music21.chord.Chord B2 B1>,[0],[11],Children's Corner 113 6 Eb Major.mid,Debussy,4,2.0
7.5,<music21.chord.Chord D3 G3 B-1 B-2>,"[0, 3, 7]","[7, 10, 2]",Children's Corner 113 6 Eb Major.mid,Debussy,4,2.5
10.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,6,1.0
10.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,6,1.5
11.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,6,2.0
11.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,6,2.5
11.75,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,6,2.75
12.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,7,1.0
12.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,7,1.5
13.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,7,2.0
13.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,7,2.5
14.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,8,1.0
14.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,8,1.5
14.75,<music21.chord.Chord E-3 B-3>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,8,1.75
15.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,8,2.0
15.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,8,2.5
16.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,9,1.0
16.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,9,1.5
17.0,<music21.chord.Chord E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,9,2.0
17.5,<music21.chord.Chord E-3 B-3 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,9,2.5
18.0,<music21.chord.Chord B-4 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,10,1.0
18.125,<music21.chord.Chord B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,10,1.125
18.25,<music21.chord.Chord G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,10,1.25
18.5,<music21.chord.Chord B3 E-4 G#4 F3 G#3>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,10,1.5
18.625,<music21.chord.Chord G#4 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,10,1.625
18.75,<music21.chord.Chord B-4 B3 E-4>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,10,1.75
19.0,<music21.chord.Chord F4 E-2 B-2>,"[0, 2, 7]","[3, 5, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,10,2.0
19.5,<music21.chord.Chord B-4 B3 E-4 F3 G#3>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,10,2.5
19.625,<music21.chord.Chord B3 E-4>,"[0, 4]","[11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,10,2.625
20.0,<music21.chord.Chord G#4 E-2 B-2>,"[0, 2, 7]","[8, 10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,11,1.0
20.125,<music21.chord.Chord G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,11,1.125
20.25,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,11,1.25
20.5,<music21.chord.Chord B3 F4 F3 G#3>,"[0, 3, 6]","[5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,11,1.5
20.625,<music21.chord.Chord F4 B3>,"[0, 6]","[5, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,11,1.625
20.75,<music21.chord.Chord E-4 B3>,"[0, 4]","[11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,11,1.75
21.0,<music21.chord.Chord B3 E-2 B-2>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,11,2.0
21.5,<music21.chord.Chord E-4 B3 F3 G#3>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,11,2.5
21.625,<music21.chord.Chord B3>,[0],[11],Children's Corner 113 6 Eb Major.mid,Debussy,11,2.625
22.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,12,1.0
22.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,12,1.125
22.25,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,12,1.25
22.5,<music21.chord.Chord F3 G3>,"[0, 2]","[5, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,12,1.5
22.75,<music21.chord.Chord C4>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,12,1.75
23.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,12,2.0
23.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,12,2.125
23.5,<music21.chord.Chord E-4 B-4 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,12,2.5
24.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,13,1.0
24.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,13,1.125
24.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,13,1.5
24.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,13,1.625
25.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,13,2.0
25.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,13,2.125
25.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,13,2.5
25.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,13,2.625
26.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,14,1.0
26.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,14,1.125
26.25,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,14,1.25
26.5,<music21.chord.Chord G#3 E-3 F3>,"[0, 2, 5]","[3, 5, 8]",Children's Corner 113 6 Eb Major.mid,Debussy,14,1.5
26.625,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,14,1.625
26.75,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,14,1.75
27.0,<music21.chord.Chord C4 E-2 B-2>,"[0, 2, 5]","[10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,14,2.0
27.5,<music21.chord.Chord G#3 E-3 F3>,"[0, 2, 5]","[3, 5, 8]",Children's Corner 113 6 Eb Major.mid,Debussy,14,2.5
28.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,15,1.0
28.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,15,1.125
28.25,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,15,1.25
28.5,<music21.chord.Chord G#3 E-3 F3>,"[0, 2, 5]","[3, 5, 8]",Children's Corner 113 6 Eb Major.mid,Debussy,15,1.5
28.625,<music21.chord.Chord G#3>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,15,1.625
28.75,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,15,1.75
29.0,<music21.chord.Chord B3 E-2 B-2>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,15,2.0
29.5,<music21.chord.Chord G#3 E-3 F3>,"[0, 2, 5]","[3, 5, 8]",Children's Corner 113 6 Eb Major.mid,Debussy,15,2.5
30.0,<music21.chord.Chord B-3 B-2>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,16,1.0
30.25,<music21.chord.Chord G3 G2>,[0],[7],Children's Corner 113 6 Eb Major.mid,Debussy,16,1.25
30.75,<music21.chord.Chord F3 F2>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,16,1.75
31.0,<music21.chord.Chord E-3 E-2>,[0],[3],Children's Corner 113 6 Eb Major.mid,Debussy,16,2.0
31.5,<music21.chord.Chord D3 D2>,[0],[2],Children's Corner 113 6 Eb Major.mid,Debussy,16,2.5
32.0,<music21.chord.Chord C3 C2>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,17,1.0
32.5,<music21.chord.Chord G2 G1>,[0],[7],Children's Corner 113 6 Eb Major.mid,Debussy,17,1.5
33.0,<music21.chord.Chord C3 C2>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,17,2.0
33.5,<music21.chord.Chord D3 D2>,[0],[2],Children's Corner 113 6 Eb Major.mid,Debussy,17,2.5
34.0,<music21.chord.Chord B-4 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,18,1.0
34.125,<music21.chord.Chord B-4>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,18,1.125
34.25,<music21.chord.Chord G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,18,1.25
34.5,<music21.chord.Chord B3 E-4 G#4 F3 G#3>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,18,1.5
34.625,<music21.chord.Chord G#4 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,18,1.625
34.75,<music21.chord.Chord B-4 B3 E-4>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,18,1.75
35.0,<music21.chord.Chord F4 E-2 B-2>,"[0, 2, 7]","[3, 5, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,18,2.0
35.5,<music21.chord.Chord B-4 B3 E-4 F3 G#3>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,18,2.5
35.625,<music21.chord.Chord B3 E-4>,"[0, 4]","[11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,18,2.625
36.0,<music21.chord.Chord G#4 E-2 B-2>,"[0, 2, 7]","[8, 10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,19,1.0
36.125,<music21.chord.Chord G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,Debussy,19,1.125
36.25,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,19,1.25
36.5,<music21.chord.Chord B3 F4 F3 G#3>,"[0, 3, 6]","[5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,19,1.5
36.625,<music21.chord.Chord F4 B3>,"[0, 6]","[5, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,19,1.625
36.75,<music21.chord.Chord E-4 B3>,"[0, 4]","[11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,19,1.75
37.0,<music21.chord.Chord B3 E-2 B-2>,"[0, 1, 5]","[10, 11, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,19,2.0
37.5,<music21.chord.Chord E-4 B3 F3 G#3>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,Debussy,19,2.5
37.625,<music21.chord.Chord B3>,[0],[11],Children's Corner 113 6 Eb Major.mid,Debussy,19,2.625
38.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,20,1.0
38.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,20,1.125
38.25,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,20,1.25
38.5,<music21.chord.Chord F3 G3>,"[0, 2]","[5, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,20,1.5
38.75,<music21.chord.Chord C4>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,20,1.75
39.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,20,2.0
39.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,20,2.125
39.5,<music21.chord.Chord E-4 B-4 F3 G3>,"[0, 2, 4, 7]","[3, 5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,20,2.5
40.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,21,1.0
40.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,21,1.125
40.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,21,1.5
40.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,21,1.625
41.0,<music21.chord.Chord B-3 E-2 B-2>,"[0, 5]","[10, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,21,2.0
41.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,21,2.125
41.5,<music21.chord.Chord B-3 F3 G3>,"[0, 2, 5]","[5, 7, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,21,2.5
41.625,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,21,2.625
42.0,<music21.chord.Chord B-3 F#2 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,22,1.0
42.125,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,22,1.125
42.25,<music21.chord.Chord B-3>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,22,1.25
42.5,<music21.chord.Chord C#3 F#3 G#3>,"[0, 2, 7]","[6, 8, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,22,1.5
42.75,<music21.chord.Chord C4>,[0],[0],Children's Corner 113 6 Eb Major.mid,Debussy,22,1.75
43.0,<music21.chord.Chord B-3 F#2 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,22,2.0
43.5,<music21.chord.Chord C#4 C#3 F#3 A3>,"[0, 3, 7]","[6, 9, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,22,2.5
44.0,<music21.chord.Chord E-4 F#2 C#3>,"[0, 2, 5]","[1, 3, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,23,1.0
44.5,<music21.chord.Chord F4 C#3 F#3 B-3>,"[0, 1, 5, 8]","[5, 6, 10, 1]",Children's Corner 113 6 Eb Major.mid,Debussy,23,1.5
45.0,<music21.chord.Chord E-4 F#2 C#3>,"[0, 2, 5]","[1, 3, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,23,2.0
45.5,<music21.chord.Chord F#4 C#3 F#3 B3>,"[0, 2, 7]","[11, 1, 6]",Children's Corner 113 6 Eb Major.mid,Debussy,23,2.5
46.0,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,24,1.0
46.25,<music21.chord.Chord F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,Debussy,24,1.25
46.5,<music21.chord.Chord C#4 E4>,"[0, 3]","[1, 4]",Children's Corner 113 6 Eb Major.mid,Debussy,24,1.5
46.75,<music21.chord.Chord G4 C#4 E4>,"[0, 3, 6]","[1, 4, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,24,1.75
47.0,<music21.chord.Chord F4 C4 E-4>,"[0, 3, 5]","[0, 3, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,24,2.0
47.5,<music21.chord.Chord G4 D5 F3 A3 E-4>,"[0, 1, 3, 5, 7]","[2, 3, 5, 7, 9]",Children's Corner 113 6 Eb Major.mid,Debussy,24,2.5
48.0,<music21.chord.Chord D4 B-4 B-2 F3 B-3>,"[0, 4, 7]","[10, 2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,25,1.0
49.0,<music21.chord.Chord B-5 B-6 B-1 B-2>,[0],[10],Children's Corner 113 6 Eb Major.mid,Debussy,25,2.0
50.0,<music21.chord.Chord C4 E-4 G#3 B-3>,"[0, 2, 4, 7]","[8, 10, 0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.0
50.125,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.125
50.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.25
50.5,<music21.chord.Chord D4 F4 G#4 B-4>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.5
50.625,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.625
50.75,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]",Children's Corner 113 6 Eb Major.mid,Debussy,26,1.75
51.0,<music21.chord.Chord D4 F4 G#3 B-3>,"[0, 3, 6, 8]","[2, 5, 8, 10]",Children's Corner 113 6 Eb Major.mid,Debussy,26,2.0
